# Tissue: cerebellum
# Gene Count: 69
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000101438	ENST00000217420	SLC32A1	140679	NM_080552	NP_542119
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000112378	ENST00000421351	PERP	64065	NM_022121	NP_071404
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000120324	ENST00000239446	PCDHB10	56126	NM_018930	NP_061753
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000139352	ENST00000266744	ASCL1	429	NM_004316	NP_004307
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000155961	ENST00000369454	RAB39B	116442	NM_171998	NP_741995
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000163083	ENST00000295228	INHBB	3625	NM_002193	NP_002184
ENSG00000163794	ENST00000296099	UCN	7349	NM_003353	NP_003344
ENSG00000163888	ENST00000296238	CAMK2N2	94032	NM_033259	NP_150284
ENSG00000164438	ENST00000296921	TLX3	30012	NM_021025	NP_066305
ENSG00000164600	ENST00000297142	NEUROD6	63974	NM_022728	NP_073565
ENSG00000164778	ENST00000297375	EN2	2020	NM_001427	NP_001418
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170396	ENST00000302277	ZNF804A	91752	NM_194250	NP_919226
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000170775	ENST00000303921	GPR37	2861	NM_005302	NP_005293
ENSG00000171056	ENST00000304501	SOX7	83595	NM_031439	NP_113627
ENSG00000171786	ENST00000302101	NHLH1	4807	NM_005598	NP_005589
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000174721	ENST00000311575	FGFBP3	143282	NM_152429	NP_689642
ENSG00000174804	ENST00000531380	FZD4	8322	NM_012193	NP_036325
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176076	ENST00000372101	KCNE5	23630	NM_012282	NP_036414
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000178531	ENST00000318978	CTXN1	404217	NM_206833	NP_996664
ENSG00000179331	ENST00000320578	RAB39A	54734	NM_017516	NP_059986
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000182636	ENST00000649030	NDN	4692	NM_002487	NP_002478
ENSG00000182700	ENST00000333305	IGIP	492311	NM_001007189	NP_001007190
ENSG00000182810	ENST00000332395	DDX28	55794	NM_018380	NP_060850
ENSG00000183114	ENST00000332947	FAM43B	163933	NM_207334	NP_997217
ENSG00000183598	ENST00000331491	H3C13	653604	NM_001123375	NP_001116847
ENSG00000183779	ENST00000331569	ZNF703	80139	NM_025069	NP_079345
ENSG00000185085	ENST00000330574	INTS5	80789	NM_030628	NP_085131
ENSG00000185818	ENST00000423729	NAT8L	339983	NM_178557	NP_848652
ENSG00000186222	ENST00000320776	BLOC1S4	55330	NM_018366	NP_060836
ENSG00000188636	ENST00000341255	RTL6	84247	NM_032287	NP_115663
ENSG00000196368	ENST00000375992	NUDT11	55190	NM_018159	NP_060629
ENSG00000197296	ENST00000396825	FITM2	128486	NM_001080472	NP_001073941
ENSG00000203883	ENST00000340356	SOX18	54345	NM_018419	NP_060889
ENSG00000204366	ENST00000375527	ZBTB12	221527	NM_181842	NP_862825
ENSG00000204439	ENST00000375911	C6orf47	57827	NM_021184	NP_067007
ENSG00000205138	ENST00000378887	SDHAF1	644096	NM_001042631	NP_001036096
ENSG00000215397	ENST00000246104	SCRT2	85508	NM_033129	NP_149120
ENSG00000221821	ENST00000408925	C6orf226	441150	NM_001008739	NP_001008739
ENSG00000223496	ENST00000435634	EXOSC6	118460	NM_058219	NP_478126
ENSG00000247626	ENST00000282276	MARS2	92935	NM_138395	NP_612404
ENSG00000263874	ENST00000583195	LASP1NB	100505576	NM_001414697	NP_001401626
ENSG00000267909	ENST00000599174	CCDC177	56936	NM_001271507	NP_001258436
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NM_001355243	NP_001342172
ENSG00000273238	ENST00000610212	TMEM271	112441426	NM_001362796	NP_001349725
ENSG00000280789	ENST00000320330	PAGR1	79447	NM_024516	NP_078792
ENSG00000281991	ENST00000615541	TMEM265	100862671	NM_001256829	NP_001243758
ENSG00000288722	ENST00000610495	F8A1	8263	NM_012151	NP_036283
