Anatomical_Entity_Name	Number_of_TUSCO_Genes
cerebellar hemisphere	113
pituitary gland	113
hypothalamus	112
testis	108
fallopian tube	104
anterior lingual gland	102
ectocervix	101
nucleus accumbens	100
amygdala	99
caudate nucleus	99
anterior cingulate cortex	99
endocervix	96
Ammon's horn	95
putamen	95
C1 segment of cervical spinal cord	94
substantia nigra	94
outer medulla of kidney	93
coronary artery	93
cortex of kidney	91
tibial artery	89
fibroblast derived cell line	84
lower leg skin	77
prostate gland	71
suprapubic skin	71
cerebellum	69
adrenal gland	66
left ventricle myocardium	65
lymphoblast	64
urinary bladder	62
venous blood	60
spleen	59
ovary	59
stomach	59
esophagus squamous epithelium	56
sigmoid colon	52
right atrium auricular region	52
esophagus muscularis mucosa	50
gastroesophageal sphincter	50
dorsolateral prefrontal cortex	48
omental fat pad	48
gastrocnemius medialis	48
tibial nerve	46
vagina	45
breast epithelium	44
upper lobe of left lung	44
Peyer's patch	43
transverse colon	43
thyroid gland	43
right lobe of liver	43
frontal cortex	42
ascending aorta	42
subcutaneous adipose tissue	42
body of pancreas	40
uterus	36
