# Tissue: venous blood
# Gene Count: 60
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000008438	ENST00000008938	PGLYRP1	8993	NM_005091	NP_005082
ENSG00000086506	ENST00000199708	HBQ1	3049	NM_005331	NP_005322
ENSG00000102837	ENST00000219022	OLFM4	10562	NM_006418	NP_006409
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000109272	ENST00000226524	PF4V1	5197	NM_002620	NP_002611
ENSG00000111796	ENST00000229402	KLRB1	3820	NM_002258	NP_002249
ENSG00000112599	ENST00000230361	GUCA1B	2979	NM_002098	NP_002089
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000124216	ENST00000244050	SNAI1	6615	NM_005985	NP_005976
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136514	ENST00000259030	RTP4	64108	NM_022147	NP_071430
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000143185	ENST00000367819	XCL2	6846	NM_003175	NP_003166
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000155961	ENST00000369454	RAB39B	116442	NM_171998	NP_741995
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000163221	ENST00000368737	S100A12	6283	NM_005621	NP_005612
ENSG00000163464	ENST00000295683	CXCR1	3577	NM_000634	NP_000625
ENSG00000163794	ENST00000296099	UCN	7349	NM_003353	NP_003344
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000168792	ENST00000307201	ABHD15	116236	NM_198147	NP_937790
ENSG00000169397	ENST00000304639	RNASE3	6037	NM_002935	NP_002926
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170439	ENST00000394252	TMT1B	196410	NM_152637	NP_689850
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000170684	ENST00000303809	ZNF296	162979	NM_145288	NP_660331
ENSG00000173110	ENST00000309758	HSPA6	3310	NM_002155	NP_002146
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176076	ENST00000372101	KCNE5	23630	NM_012282	NP_036414
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000182810	ENST00000332395	DDX28	55794	NM_018380	NP_060850
ENSG00000183734	ENST00000331289	ASCL2	430	NM_005170	NP_005161
ENSG00000183779	ENST00000331569	ZNF703	80139	NM_025069	NP_079345
ENSG00000185085	ENST00000330574	INTS5	80789	NM_030628	NP_085131
ENSG00000185245	ENST00000329125	GP1BA	2811	NM_000173	NP_000164
ENSG00000186222	ENST00000320776	BLOC1S4	55330	NM_018366	NP_060836
ENSG00000188636	ENST00000341255	RTL6	84247	NM_032287	NP_115663
ENSG00000204010	ENST00000371809	IFIT1B	439996	NM_001010987	NP_001010987
ENSG00000204439	ENST00000375911	C6orf47	57827	NM_021184	NP_067007
ENSG00000205138	ENST00000378887	SDHAF1	644096	NM_001042631	NP_001036096
ENSG00000213714	ENST00000371325	FAM209B	388799	NM_001013646	NP_001013668
ENSG00000221821	ENST00000408925	C6orf226	441150	NM_001008739	NP_001008739
ENSG00000223496	ENST00000435634	EXOSC6	118460	NM_058219	NP_478126
ENSG00000238243	ENST00000360358	OR2W3	343171	NM_001001957	NP_001001957
ENSG00000255398	ENST00000528880	HCAR3	8843	NM_006018	NP_006009
ENSG00000263874	ENST00000583195	LASP1NB	100505576	NM_001414697	NP_001401626
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NM_001355243	NP_001342172
ENSG00000280789	ENST00000320330	PAGR1	79447	NM_024516	NP_078792
ENSG00000281991	ENST00000615541	TMEM265	100862671	NM_001256829	NP_001243758
ENSG00000288722	ENST00000610495	F8A1	8263	NM_012151	NP_036283
