# Tissue: embryonic post-anal tail
# Gene Count: 88
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000001823	ENSMUST00000001878	Hoxd12	15432	NM_008274	NP_032300
ENSMUSG00000003070	ENSMUST00000003154	Efna2	13637	NM_007909	NP_031935
ENSMUSG00000005892	ENSMUST00000006046	Trh	22044	NM_009426	NP_033452
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018543	ENSMUST00000107576	Spmap1	72215	NM_028156	NP_082432
ENSMUSG00000020583	ENSMUST00000020899	Matn3	17182	NM_010770	NP_034900
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022055	ENSMUST00000022639	Nefl	18039	NM_010910	NP_035040
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000024245	ENSMUST00000025092	Tmem178	68027	NM_026516	NP_080792
ENSMUSG00000024366	ENSMUST00000025224	Gfra3	14587	NM_010280	NP_034410
ENSMUSG00000026497	ENSMUST00000027778	Mixl1	27217	NM_013729	NP_038757
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027581	ENSMUST00000103045	Stmn3	20262	NM_009133	NP_033159
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000033578	ENSMUST00000037687	Tmem35a	67564	NM_026239	NP_080515
ENSMUSG00000033774	ENSMUST00000044180	Npbwr1	226304	NM_010342	NP_034472
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000033967	ENSMUST00000045870	Rnf225	381845	NM_029809	NP_084085
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000036357	ENSMUST00000057645	Gpr101	245424	NM_001033360	NP_001028532
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000037001	ENSMUST00000102703	Zfp39	22698	NM_011758	NP_035888
ENSMUSG00000037010	ENSMUST00000039026	Apln	30878	NM_013912	NP_038940
ENSMUSG00000037171	ENSMUST00000049339	Nodal	18119	NM_013611	NP_038639
ENSMUSG00000038692	ENSMUST00000049241	Hoxb4	15412	NM_010459	NP_034589
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000039462	ENSMUST00000105511	Col10a1	12813	NM_009925	NP_034055
