# Gene IDs passing expressed in spleen (UBERON:0002106) filter
# Total: 107
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000076505	ENSMUST00000103306	Igkv1-131			
ENSMUSG00000096490	ENSMUST00000103330	Igkv10-94			
ENSMUSG00000076532	ENSMUST00000103333	Igkv4-91			
ENSMUSG00000076535	ENSMUST00000103336	Igkv1-88			
ENSMUSG00000104769	ENSMUST00000196959	Igkv8-34			
ENSMUSG00000076583	ENSMUST00000103384	Igkv8-24			
ENSMUSG00000094797	ENSMUST00000103393	Igkv6-15			
ENSMUSG00000096844	ENSMUST00000103394	Igkv6-14			
ENSMUSG00000094117	ENSMUST00000103396	Igkv3-12			
ENSMUSG00000095338	ENSMUST00000103398	Igkv3-9			
ENSMUSG00000094478	ENSMUST00000103402	Igkv3-3			
ENSMUSG00000095682	ENSMUST00000103404	Igkv3-1			
ENSMUSG00000076604	ENSMUST00000103405	Igkj1			
ENSMUSG00000076607	ENSMUST00000103408	Igkj4			
ENSMUSG00000045210	ENSMUST00000057438	Vcpip1	70675	NM_173443	NP_775619
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000076619	ENSMUST00000103428	Ighj3			
ENSMUSG00000076621	ENSMUST00000103430	Ighj1			
ENSMUSG00000052271	ENSMUST00000060747	Bhlha15	17341	NM_010800	NP_034930
ENSMUSG00000076665	ENSMUST00000103474	Ighv7-1			
ENSMUSG00000094102	ENSMUST00000103472	Ighv9-2			
ENSMUSG00000096459	ENSMUST00000103473	Ighv9-3			
ENSMUSG00000076652	ENSMUST00000103461	Ighv7-3			
ENSMUSG00000096672	ENSMUST00000103534	Ighv1-63			
ENSMUSG00000094940	ENSMUST00000103551	Ighv1-84			
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000045954	ENSMUST00000051572	Cavin2	20324	NM_138741	NP_620080
ENSMUSG00000043811	ENSMUST00000059589	Rtn4r	65079	NM_022982	NP_075358
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000054408	ENSMUST00000067476	Spcs3	76687	NM_029701	NP_083977
ENSMUSG00000109941	ENSMUST00000210390	Exosc6	72544	NM_028274	NP_082550
ENSMUSG00000106405	ENSMUST00000200074	Iglj3p			
ENSMUSG00000105231	ENSMUST00000200211	Iglj3			
ENSMUSG00000106039	ENSMUST00000197046	Iglc4			
ENSMUSG00000045414	ENSMUST00000113028	Dipk2a	68861	NM_001033145	NP_001028317
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000105533	ENSMUST00000200127	Trav7d-2			
ENSMUSG00000036362	ENSMUST00000040622	P2ry13	74191	NM_028808	NP_083084
ENSMUSG00000076921	ENSMUST00000103733	Traj7			
ENSMUSG00000049232	ENSMUST00000062626	Tigd2	68140	NM_001081145	NP_001074614
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
