Anatomical_Entity_Name	Number_of_TUSCO_Genes
multicellular organism	461
intestine	245
zone of skin	210
lip	191
cerebral cortex	187
islet of Langerhans	184
esophagus	182
ileum	177
jejunum	176
cortex of kidney	172
adult mammalian kidney	171
embryonic facial prominence	168
embryo	167
uterus	167
spermatid	158
hypothalamus	157
neural tube	152
right kidney	150
Ammon's horn	147
superior frontal gyrus	143
muscle tissue	137
spermatocyte	136
thymus	136
hindlimb stylopod muscle	135
ectoplacental cone	133
primary visual cortex	130
white adipose tissue	128
embryonic brain	126
telencephalon	122
proximal tubule	122
cerebellar cortex	116
skeletal muscle tissue	114
lens of camera-type eye	113
forelimb bud	112
colon	106
striatum	106
hindlimb bud	106
spleen	105
dentate gyrus of hippocampal formation granule cell	104
duodenum	102
animal zygote	100
granulocyte	98
pituitary gland	98
submandibular gland	98
undifferentiated genital tubercle	97
quadriceps femoris	96
yolk sac	93
bone element	91
aorta	90
olfactory epithelium	88
embryonic post-anal tail	88
retina	87
epiblast (generic)	87
retinal neural layer	85
late embryo	83
lung	83
primary oocyte	81
ganglionic eminence	79
stomach	77
ventricular zone	76
secondary oocyte	74
testis	73
triceps brachii	72
heart left ventricle	69
urinary bladder	68
ovary	67
limb	67
adrenal gland	67
brain blood vessel	67
hindbrain	65
frontal cortex	64
forebrain	64
brain	63
cerebellum	62
central nervous system	60
midbrain	60
placenta	60
heart	56
small intestine	56
large intestine	54
pineal body	54
adipose tissue	52
cortical plate	51
soleus muscle	50
mandibular prominence	50
maxillary prominence	48
liver	47
tibialis anterior	45
subcutaneous adipose tissue	45
kidney	44
pancreas	38
heart right ventricle	34
thoracic mammary gland	28
gastrocnemius	27
brown adipose tissue	21
olfactory bulb	19
bone marrow	16
gonadal fat pad	16
thyroid gland	5
vomeronasal organ	3
cortical layer V	1
granular layer of cerebellar cortex	1
left cardiac atrium	1
right cardiac atrium	1
