# Tissue: testis
# Gene Count: 108
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000102055	ENST00000378131	PPP1R2C	80316	NM_025210	NP_079486
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000112378	ENST00000421351	PERP	64065	NM_022121	NP_071404
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000120057	ENST00000266066	SFRP5	6425	NM_003015	NP_003006
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000122728	ENST00000242310	TAF1L	138474	NM_153809	NP_722516
ENSG00000123165	ENST00000371124	ACTRT1	139741	NM_138289	NP_612146
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000138755	ENST00000264888	CXCL9	4283	NM_002416	NP_002407
ENSG00000143125	ENST00000271331	PROK1	84432	NM_032414	NP_115790
ENSG00000145309	ENST00000273936	CABS1	85438	NM_033122	NP_149113
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000148156	ENST00000374667	ACTL7B	10880	NM_006686	NP_006677
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000158246	ENST00000289166	TENT5B	115572	NM_052943	NP_443175
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000163083	ENST00000295228	INHBB	3625	NM_002193	NP_002184
ENSG00000163114	ENST00000295266	PDHA2	5161	NM_005390	NP_005381
ENSG00000163206	ENST00000368765	SMCP	4184	NM_030663	NP_109588
ENSG00000164729	ENST00000297307	SLC35G3	146861	NM_152462	NP_689675
ENSG00000164736	ENST00000297316	SOX17	64321	NM_022454	NP_071899
ENSG00000164743	ENST00000297324	C8orf48	157773	NM_001007090	NP_001007091
ENSG00000165496	ENST00000298283	RPL10L	140801	NM_080746	NP_542784
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000170613	ENST00000302938	GARIN3	153745	NM_130899	NP_570969
ENSG00000171864	ENST00000305817	PRND	23627	NM_012409	NP_036541
ENSG00000173013	ENST00000310085	CFAP184	257236	NM_153376	NP_699207
ENSG00000173110	ENST00000309758	HSPA6	3310	NM_002155	NP_002146
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000174804	ENST00000531380	FZD4	8322	NM_012193	NP_036325
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000175646	ENST00000312511	PRM1	5619	NM_002761	NP_002752
ENSG00000175718	ENST00000424776	RBMXL3	139804	NM_001145346	NP_001138818
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000177504	ENST00000317103	VCX2	51480	NM_016378	NP_057462
ENSG00000177558	ENST00000324675	FAM187B	148109	NM_152481	NP_689694
ENSG00000177602	ENST00000325418	HASPIN	83903	NM_031965	NP_114171
ENSG00000178395	ENST00000366875	CCDC185	164127	NM_152610	NP_689823
ENSG00000178531	ENST00000318978	CTXN1	404217	NM_206833	NP_996664
ENSG00000179071	ENST00000316398	CCDC89	220388	NM_152723	NP_689936
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000180730	ENST00000319420	SHISA2	387914	NM_001007538	NP_001007539
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000182308	ENST00000333141	DCAF4L1	285429	NM_001029955	NP_001025126
ENSG00000182636	ENST00000649030	NDN	4692	NM_002487	NP_002478
ENSG00000182700	ENST00000333305	IGIP	492311	NM_001007189	NP_001007190
ENSG00000182810	ENST00000332395	DDX28	55794	NM_018380	NP_060850
ENSG00000183114	ENST00000332947	FAM43B	163933	NM_207334	NP_997217
ENSG00000183434	ENST00000310125	TFDP3	51270	NM_016521	NP_057605
ENSG00000183598	ENST00000331491	H3C13	653604	NM_001123375	NP_001116847
ENSG00000183779	ENST00000331569	ZNF703	80139	NM_025069	NP_079345
ENSG00000184735	ENST00000327968	DDX53	168400	NM_182699	NP_874358
ENSG00000184814	ENST00000329447	PRR23B	389151	NM_001013650	NP_001013672
ENSG00000185085	ENST00000330574	INTS5	80789	NM_030628	NP_085131
ENSG00000185290	ENST00000329309	NUPR2	389493	NM_001145712	NP_001139184
ENSG00000185294	ENST00000329196	SPPL2C	162540	NM_175882	NP_787078
ENSG00000185818	ENST00000423729	NAT8L	339983	NM_178557	NP_848652
ENSG00000186222	ENST00000320776	BLOC1S4	55330	NM_018366	NP_060836
ENSG00000187516	ENST00000341016	H2AP	25763	NM_012274	NP_036406
ENSG00000188636	ENST00000341255	RTL6	84247	NM_032287	NP_115663
ENSG00000188763	ENST00000344575	FZD9	8326	NM_003508	NP_003499
ENSG00000189037	ENST00000339042	DUSP21	63904	NM_022076	NP_071359
ENSG00000189139	ENST00000340446	FSCB	84075	NM_032135	NP_115511
ENSG00000196368	ENST00000375992	NUDT11	55190	NM_018159	NP_060629
ENSG00000196406	ENST00000370515	SPANXD	64648	NM_032417	NP_115793
ENSG00000197296	ENST00000396825	FITM2	128486	NM_001080472	NP_001073941
ENSG00000198142	ENST00000356454	SOWAHC	65124	NM_023016	NP_075392
ENSG00000198573	ENST00000358993	SPANXC	64663	NM_022661	NP_073152
ENSG00000198889	ENST00000371126	DCAF12L1	139170	NM_178470	NP_848565
ENSG00000203784	ENST00000368747	LELP1	149018	NM_001010857	NP_001010857
ENSG00000203883	ENST00000340356	SOX18	54345	NM_018419	NP_060889
ENSG00000204019	ENST00000371894	CT83	203413	NM_001017978	NP_001017978
ENSG00000204439	ENST00000375911	C6orf47	57827	NM_021184	NP_067007
ENSG00000205138	ENST00000378887	SDHAF1	644096	NM_001042631	NP_001036096
ENSG00000213714	ENST00000371325	FAM209B	388799	NM_001013646	NP_001013668
ENSG00000221821	ENST00000408925	C6orf226	441150	NM_001008739	NP_001008739
ENSG00000223496	ENST00000435634	EXOSC6	118460	NM_058219	NP_478126
ENSG00000227234	ENST00000449283	SPANXB1	728695	NM_032461	NP_115850
ENSG00000229674	ENST00000448797	H2AL3	115482686	NM_001395555	NP_001382484
ENSG00000230707	ENST00000453380	HAPSTR2	389895	NM_001271560	NP_001258489
ENSG00000244234	ENST00000463439	GMCL2	64396	NM_001358008	NP_001344937
ENSG00000247626	ENST00000282276	MARS2	92935	NM_138395	NP_612404
ENSG00000250719	ENST00000506599	P3R3URF	110117498	NM_001328655	NP_001315584
ENSG00000253506	ENST00000521764	NACA2	342538	NM_199290	NP_954984
ENSG00000255423	ENST00000533473	EBLN2	55096	NM_018029	NP_060499
ENSG00000260286	ENST00000565469	ARMH2	101928603	NM_001282492	NP_001269421
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NM_001355243	NP_001342172
ENSG00000274997	ENST00000377459	H2AC12	85235	NM_080596	NP_542163
ENSG00000275793	ENST00000619918	RIMBP3	85376	NM_015672	NP_056487
ENSG00000280789	ENST00000320330	PAGR1	79447	NM_024516	NP_078792
ENSG00000281991	ENST00000615541	TMEM265	100862671	NM_001256829	NP_001243758
ENSG00000283463	ENST00000457775	HSFX4	101927685	NM_001351114	NP_001338043
ENSG00000283697	ENST00000431993	HSFX3	101928917	NM_001323079	NP_001310008
ENSG00000288460	ENST00000672824	SMIM42	117981789	NM_001395415	NP_001382344
ENSG00000288649	ENST00000677665	ACTL10	170487	NM_001024675	NP_001019846
ENSG00000288722	ENST00000610495	F8A1	8263	NM_012151	NP_036283
ENSG00000288784	ENST00000486333	CTAGE4	100128553	NM_198495	NP_940897
