# Tissue: lower leg skin
# Gene Count: 77
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000123364	ENST00000243056	HOXC13	3229	NM_017410	NP_059106
ENSG00000124935	ENST00000244926	SCGB1D2	10647	NM_006551	NP_006542
ENSG00000124939	ENST00000244930	SCGB2A1	4246	NM_002407	NP_002398
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000158246	ENST00000289166	TENT5B	115572	NM_052943	NP_443175
ENSG00000159455	ENST00000368780	LCE2B	26239	NM_014357	NP_055172
ENSG00000159763	ENST00000291009	PIP	5304	NM_002652	NP_002643
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000163083	ENST00000295228	INHBB	3625	NM_002193	NP_002184
ENSG00000163202	ENST00000368787	LCE3D	84648	NM_032563	NP_115952
ENSG00000164825	ENST00000297439	DEFB1	1672	NM_005218	NP_005209
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000168703	ENST00000372785	WFDC12	128488	NM_080869	NP_543145
ENSG00000168792	ENST00000307201	ABHD15	116236	NM_198147	NP_937790
ENSG00000169469	ENST00000307098	SPRR1B	6699	NM_003125	NP_003116
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000170684	ENST00000303809	ZNF296	162979	NM_145288	NP_660331
ENSG00000171056	ENST00000304501	SOX7	83595	NM_031439	NP_113627
ENSG00000171357	ENST00000371980	LURAP1	541468	NM_001013615	NP_001013633
ENSG00000172155	ENST00000326233	LCE1D	353134	NM_178352	NP_848129
ENSG00000173110	ENST00000309758	HSPA6	3310	NM_002155	NP_002146
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000174804	ENST00000531380	FZD4	8322	NM_012193	NP_036325
ENSG00000175315	ENST00000312134	CST6	1474	NM_001323	NP_001314
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000178531	ENST00000318978	CTXN1	404217	NM_206833	NP_996664
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
