# Tissue: spermatid
# Gene Count: 158
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000005892	ENSMUST00000006046	Trh	22044	NM_009426	NP_033452
ENSMUSG00000007682	ENSMUST00000082432	Dio2	13371	NM_010050	NP_034180
ENSMUSG00000009185	ENSMUST00000009329	Ccl8	20307	NM_021443	NP_067418
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018543	ENSMUST00000107576	Spmap1	72215	NM_028156	NP_082432
ENSMUSG00000018930	ENSMUST00000019074	Ccl4	20303	NM_013652	NP_038680
ENSMUSG00000020010	ENSMUST00000020190	Vnn3	26464	NM_011979	NP_036109
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023057	ENSMUST00000023820	Fabp2	14079	NM_007980	NP_032006
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000025288	ENSMUST00000026325	4933436I01Rik	66780	NM_025763	NP_080039
ENSMUSG00000025431	ENSMUST00000026498	Crisp1	11571	NM_009638	NP_033768
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000027399	ENSMUST00000028882	Il1a	16175	NM_010554	NP_034684
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000028963	ENSMUST00000030803	Uts2	24111	NM_011910	NP_036040
ENSMUSG00000029679	ENSMUST00000031690	Hyal6	74409	NM_028920	NP_083196
ENSMUSG00000031518	ENSMUST00000033917	Spata4	69281	NM_133711	NP_598472
ENSMUSG00000031831	ENSMUST00000093100	Dnaaf1	68270	NM_026648	NP_080924
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000032451	ENSMUST00000035026	Trim42	78911	NM_030219	NP_084495
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000033383	ENSMUST00000038730	Rtp1	239766	NM_001004151	NP_001004151
ENSMUSG00000033578	ENSMUST00000037687	Tmem35a	67564	NM_026239	NP_080515
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000034774	ENSMUST00000054128	Dsg1c	211924	NM_181680	NP_859008
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000035373	ENSMUST00000021011	Ccl7	20306	NM_013654	NP_038682
ENSMUSG00000035651	ENSMUST00000035626	4930480E11Rik	74910	NM_001177966	NP_001171437
ENSMUSG00000036362	ENSMUST00000040622	P2ry13	74191	NM_028808	NP_083084
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000036551	ENSMUST00000046557	Akap14	434756	NM_001033785	NP_001028957
ENSMUSG00000037001	ENSMUST00000102703	Zfp39	22698	NM_011758	NP_035888
ENSMUSG00000037010	ENSMUST00000039026	Apln	30878	NM_013912	NP_038940
ENSMUSG00000038044	ENSMUST00000045016	Cct8l1	242891	NM_198621	NP_941023
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000039337	ENSMUST00000039146	Tex19.2	70956	NM_027622	NP_081898
ENSMUSG00000040205	ENSMUST00000046611	Cuzd1	16433	NM_008411	NP_032437
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000042041	ENSMUST00000048482	2010003K11Rik	69861	NM_027237	NP_081513
ENSMUSG00000042200	ENSMUST00000035854	Cdrt4	66338	NM_025496	NP_079772
ENSMUSG00000042380	ENSMUST00000142029	Smim12	80284	NM_030252	NP_084528
ENSMUSG00000042525	ENSMUST00000113046	4933428M09Rik	71248	NM_001357856	NP_001344785
ENSMUSG00000042595	ENSMUST00000047852	Fam199x	245622	NM_146261	NP_666373
ENSMUSG00000043429	ENSMUST00000060041	Ccdc185	433386	NM_001033547	NP_001028719
ENSMUSG00000043458	ENSMUST00000055495	Pcdhb12	93883	NM_053137	NP_444367
ENSMUSG00000043986	ENSMUST00000052978	Spata31d1d	238663	NM_177711	NP_808379
ENSMUSG00000044400	ENSMUST00000060057	Sowahd	245381	NM_173779	NP_776140
ENSMUSG00000044444	ENSMUST00000054146	Pfn3	75477	NM_029303	NP_083579
ENSMUSG00000044641	ENSMUST00000052125	Pard6b	58220	NM_021409	NP_067384
ENSMUSG00000044863	ENSMUST00000058086	Defb36	266620	NM_001037247	NP_001032324
ENSMUSG00000045210	ENSMUST00000057438	Vcpip1	70675	NM_173443	NP_775619
ENSMUSG00000045414	ENSMUST00000113028	Dipk2a	68861	NM_001033145	NP_001028317
ENSMUSG00000045566	ENSMUST00000062129	Sprr4	229562	NM_173070	NP_775093
ENSMUSG00000045954	ENSMUST00000051572	Cavin2	20324	NM_138741	NP_620080
ENSMUSG00000046615	ENSMUST00000059466	Actrt1	73360	NM_028514	NP_082790
ENSMUSG00000047079	ENSMUST00000062695	Ube2dnl2	75097	NM_001081661	NP_001075130
ENSMUSG00000047565	ENSMUST00000052910	Acot10	64833	NM_022816	NP_073727
ENSMUSG00000047654	ENSMUST00000050373	Tssk6	83984	NM_032004	NP_114393
ENSMUSG00000048087	ENSMUST00000059524	Ahcyl	11615	NM_001304528	NP_001291457
ENSMUSG00000048429	ENSMUST00000062125	Timm29	69773	NM_178619	NP_848734
ENSMUSG00000049037	ENSMUST00000060484	Clec4a1	269799	NM_199311	NP_955015
ENSMUSG00000049232	ENSMUST00000062626	Tigd2	68140	NM_001081145	NP_001074614
ENSMUSG00000049285	ENSMUST00000057773	Mblac1	330216	NM_177878	NP_808546
ENSMUSG00000049892	ENSMUST00000062405	Rasd1	19416	NM_009026	NP_033052
ENSMUSG00000049972	ENSMUST00000058605	Skint9	329918	NM_177864	NP_808532
ENSMUSG00000050435	ENSMUST00000059509	Ube2dnl1	237009	NM_001276396	NP_001263325
ENSMUSG00000050621	ENSMUST00000053150	Rps27rt	100043813	NM_001190258	NP_001177187
ENSMUSG00000050645	ENSMUST00000053180	Defb19	246700	NM_145157	NP_660139
ENSMUSG00000051257	ENSMUST00000054534	Trap1a	22037	NM_011635	NP_035765
ENSMUSG00000051316	ENSMUST00000066272	Taf7	24074	NM_175770	NP_786964
ENSMUSG00000051495	ENSMUST00000054960	Irf2bp2	270110	NM_001164598	NP_001158070
ENSMUSG00000053742	ENSMUST00000108017	Gm5114	100043467	NM_177890	NP_808558
ENSMUSG00000054117	ENSMUST00000066949	Zdhhc25	70073	NM_027306	NP_081582
ENSMUSG00000054408	ENSMUST00000067476	Spcs3	76687	NM_029701	NP_083977
ENSMUSG00000055069	ENSMUST00000068449	Rab39	270160	NM_175562	NP_780771
ENSMUSG00000055547	ENSMUST00000068875	Apobec4	71281	NM_001081197	NP_001074666
ENSMUSG00000055882	ENSMUST00000069649	Abhd16b	241850	NM_183181	NP_899004
ENSMUSG00000056270	ENSMUST00000070284	Prr9	109314	NM_175424	NP_780633
ENSMUSG00000057805	ENSMUST00000078832	1700084M14Rik			
ENSMUSG00000058252	ENSMUST00000078605	Tcp11x2	71841	NM_027952	NP_082228
ENSMUSG00000059042	ENSMUST00000081399	Klk1b9	13648	NM_010116	NP_034246
ENSMUSG00000059663	ENSMUST00000082357	Samt2b	75071	NM_001256259	NP_001243188
ENSMUSG00000060188	ENSMUST00000200880	Cxcl17	232983	NM_153576	NP_705804
ENSMUSG00000060499	ENSMUST00000081908	Rpl10l	238217	NM_001162933	NP_001156405
ENSMUSG00000060967	ENSMUST00000074232	Etd	69501	NM_175147	NP_780356
ENSMUSG00000061633	ENSMUST00000074608	Ndufb11b	66346	NM_025503	NP_079779
ENSMUSG00000061974	ENSMUST00000079639	Cldn24	100039801	NM_001111318	NP_001104788
ENSMUSG00000062694	ENSMUST00000075477	Cav3	12391	NM_007617	NP_031643
ENSMUSG00000064356	ENSMUST00000082407	mt-Atp8	17706		NP_904332
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3	17718		NP_904335
ENSMUSG00000067441	ENSMUST00000122446	H2ab1	100039319	NM_001102665	NP_001096135
ENSMUSG00000068149	ENSMUST00000089246	Tex13c3	278255	NM_207524	NP_997407
ENSMUSG00000068522	ENSMUST00000090025	Aard	239435	NM_175503	NP_780712
ENSMUSG00000070330	ENSMUST00000093905	Tmem235	546519	NM_001085535	NP_001079004
ENSMUSG00000070464	ENSMUST00000094226	Ccl26	541307	NM_001013412	NP_001013430
ENSMUSG00000070529	ENSMUST00000094344	Wfdc10	629756	NM_001039501	NP_001034590
ENSMUSG00000070583	ENSMUST00000094481	Fv1	14349	NM_010244	NP_034374
ENSMUSG00000071726	ENSMUST00000096371	Gm5941			
ENSMUSG00000071890	ENSMUST00000096608	Mroh9	78258	NM_030071	NP_084347
ENSMUSG00000071909	ENSMUST00000096633	Nutm2	328250	NM_001033400	NP_001028572
ENSMUSG00000072620	ENSMUST00000038038	Slfn2	20556	NM_011408	NP_035538
ENSMUSG00000072722	ENSMUST00000100882	Ccdc121rt2	625464	NM_001177504	NP_001170975
ENSMUSG00000072995	ENSMUST00000101269	Cpxcr1	382239	NM_001033471	NP_001028643
ENSMUSG00000073730	ENSMUST00000073179	Ppp1r14bl	66755	NM_025746	NP_080022
ENSMUSG00000073764	ENSMUST00000097905	Gm12888	545677	NM_001033791	NP_001028963
ENSMUSG00000075510	ENSMUST00000100369	Fam187a	66784	NM_025766	NP_080042
ENSMUSG00000075572	ENSMUST00000100491	Defb43	654458	NM_001039121	NP_001034210
ENSMUSG00000076532	ENSMUST00000103333	Igkv4-91			
ENSMUSG00000076908	ENSMUST00000103720	Traj21			
ENSMUSG00000078157	ENSMUST00000104962	Fem1al	216622	NM_176829	NP_789799
ENSMUSG00000078202	ENSMUST00000104999	Nrarp	67122	NM_025980	NP_080256
ENSMUSG00000078208	ENSMUST00000105006	Fthl17b	434726	NM_001085524	NP_001078993
ENSMUSG00000078324	ENSMUST00000105117	Btbd35f14	100040732	NM_001145038	NP_001138510
ENSMUSG00000078719	ENSMUST00000107884	Msmp	100039672	NM_001099314	NP_001092784
ENSMUSG00000079008	ENSMUST00000109922	Zfp1005	100216455	NM_001142410	NP_001135882
ENSMUSG00000079031	ENSMUST00000110149	Eif1ad2	544881	NM_001177573	NP_001171044
ENSMUSG00000079440	ENSMUST00000113270	Alpi	76768	NM_001081082	NP_001074551
ENSMUSG00000079476	ENSMUST00000113602	Fam236e			
ENSMUSG00000079579	ENSMUST00000114682	Gm6760	627470	NM_001177377	NP_001170848
ENSMUSG00000089768	ENSMUST00000113071	Tmsb15b1	666244	NM_001081983	NP_001075452
ENSMUSG00000091017	ENSMUST00000171798	Garin4	619288	NM_001109759	NP_001103229
ENSMUSG00000091039	ENSMUST00000169954	Krtap20-2	622935	NM_001163615	NP_001157087
ENSMUSG00000091248	ENSMUST00000170030	Pate8	100312948	NM_001167584	NP_001161056
ENSMUSG00000091264	ENSMUST00000165561	Smim13	108934	NM_001135577	NP_001129049
ENSMUSG00000091736	ENSMUST00000065806	Yy2	100073351	NM_001098723	NP_001092193
ENSMUSG00000092118	ENSMUST00000169357	Fancf	100040608	NM_001115087	NP_001108559
ENSMUSG00000093906	ENSMUST00000200578	Igkv9-129			
ENSMUSG00000094273	ENSMUST00000105014	Btbd35f17	668964	NM_001085554	NP_001079023
ENSMUSG00000094282	ENSMUST00000177908	Cfap73	546886	NM_001195094	NP_001182023
ENSMUSG00000094307	ENSMUST00000105015	Btbd35f28	627264	NM_001085543	NP_001079012
ENSMUSG00000094478	ENSMUST00000103402	Igkv3-3			
ENSMUSG00000094558	ENSMUST00000105020	Btbd35f11	118568425	NM_001085551	NP_001079020
ENSMUSG00000094649	ENSMUST00000180168	Mplkipl1	633057	NM_001177513	NP_001170984
ENSMUSG00000094860	ENSMUST00000178143	Btbd35f27	100042275	NM_001243024	NP_001229953
ENSMUSG00000094861	ENSMUST00000063726	Mageb6b1	278167	NM_001114678	NP_001108150
ENSMUSG00000094876	ENSMUST00000105019	Btbd35f18	630022	NM_001085545	NP_001079014
ENSMUSG00000094881	ENSMUST00000163651	H2al2c	547210	NM_001177569	NP_001171040
ENSMUSG00000094904	ENSMUST00000178595	H2al1d	100042931	NM_001242950	NP_001229879
ENSMUSG00000094940	ENSMUST00000103551	Ighv1-84			
ENSMUSG00000095413	ENSMUST00000178979	H2al1e	547160	NM_001025260	NP_001020431
ENSMUSG00000095445	ENSMUST00000164729	H2al1i	100042946	NM_001242954	NP_001229883
ENSMUSG00000095655	ENSMUST00000179004	H2al1f	100042939	NM_001242951	NP_001229880
ENSMUSG00000095662	ENSMUST00000179859	H2al1g	100042943	NM_001242952	NP_001229881
ENSMUSG00000095814	ENSMUST00000105007	Btbd35f7	434725	NM_001085523	NP_001078992
ENSMUSG00000096097	ENSMUST00000178806	H2al1c	100042929	NM_001242949	NP_001229878
ENSMUSG00000096188	ENSMUST00000179802	Cmtm4	97487	NM_153582	NP_705810
ENSMUSG00000096255	ENSMUST00000179569	Dynlt1b	21648	NM_009342	NP_033368
ENSMUSG00000096461	ENSMUST00000196006	Igkv14-130			
ENSMUSG00000100626	ENSMUST00000188439	H2al1a	100042922	NM_001111037	NP_001104507
ENSMUSG00000106445	ENSMUST00000196384	Gm21190	100861755	NM_001310449	NP_001297378
ENSMUSG00000110332	ENSMUST00000209208	Gm19935			
ENSMUSG00000117924	ENSMUST00000010248	Tmem223	66836	NM_025791	NP_080067
