# Tissue: islet of Langerhans
# Gene Count: 184
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000002930	ENSMUST00000052827	Ppp1r17	19051	NM_011153	NP_035283
ENSMUSG00000003070	ENSMUST00000003154	Efna2	13637	NM_007909	NP_031935
ENSMUSG00000004821	ENSMUST00000004943	Tmed11	67366	NM_026109	NP_080385
ENSMUSG00000007877	ENSMUST00000008021	Tcap	21393	NM_011540	NP_035670
ENSMUSG00000009185	ENSMUST00000009329	Ccl8	20307	NM_021443	NP_067418
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018543	ENSMUST00000107576	Spmap1	72215	NM_028156	NP_082432
ENSMUSG00000018822	ENSMUST00000018966	Sfrp5	54612	NM_018780	NP_061250
ENSMUSG00000018930	ENSMUST00000019074	Ccl4	20303	NM_013652	NP_038680
ENSMUSG00000020062	ENSMUST00000020255	Slc5a8	216225	NM_145423	NP_663398
ENSMUSG00000020331	ENSMUST00000099513	Hcn2	15166	NM_008226	NP_032252
ENSMUSG00000020469	ENSMUST00000102921	Myl7	17898	NM_022879	NP_075017
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022055	ENSMUST00000022639	Nefl	18039	NM_010910	NP_035040
ENSMUSG00000022315	ENSMUST00000037240	Slc30a8	239436	NM_172816	NP_766404
ENSMUSG00000022650	ENSMUST00000023328	Retnlb	57263	NM_023881	NP_076370
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023057	ENSMUST00000023820	Fabp2	14079	NM_007980	NP_032006
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000024245	ENSMUST00000025092	Tmem178	68027	NM_026516	NP_080792
ENSMUSG00000024366	ENSMUST00000025224	Gfra3	14587	NM_010280	NP_034410
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000026735	ENSMUST00000028068	Ptf1a	19213	NM_018809	NP_061279
ENSMUSG00000027399	ENSMUST00000028882	Il1a	16175	NM_010554	NP_034684
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027581	ENSMUST00000103045	Stmn3	20262	NM_009133	NP_033159
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000028635	ENSMUST00000030384	Edn2	13615	NM_007902	NP_031928
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029679	ENSMUST00000031690	Hyal6	74409	NM_028920	NP_083196
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000029882	ENSMUST00000031931	Prss3b	67373	NM_023333	NP_075822
ENSMUSG00000031518	ENSMUST00000033917	Spata4	69281	NM_133711	NP_598472
ENSMUSG00000031831	ENSMUST00000093100	Dnaaf1	68270	NM_026648	NP_080924
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000032915	ENSMUST00000025004	Adgre4	52614	NM_139138	NP_631877
ENSMUSG00000033578	ENSMUST00000037687	Tmem35a	67564	NM_026239	NP_080515
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000035373	ENSMUST00000021011	Ccl7	20306	NM_013654	NP_038682
ENSMUSG00000036144	ENSMUST00000041183	Meox2	17286	NM_008584	NP_032610
ENSMUSG00000036362	ENSMUST00000040622	P2ry13	74191	NM_028808	NP_083084
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000037001	ENSMUST00000102703	Zfp39	22698	NM_011758	NP_035888
ENSMUSG00000037010	ENSMUST00000039026	Apln	30878	NM_013912	NP_038940
ENSMUSG00000037843	ENSMUST00000109523	Vstm2l	277432	NM_198627	NP_941029
ENSMUSG00000038044	ENSMUST00000045016	Cct8l1	242891	NM_198621	NP_941023
ENSMUSG00000038527	ENSMUST00000049124	C1rl	232371	NM_181344	NP_851989
ENSMUSG00000038692	ENSMUST00000049241	Hoxb4	15412	NM_010459	NP_034589
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000039552	ENSMUST00000169670	Rsph4a	212892	NM_001162957	NP_001156429
ENSMUSG00000040205	ENSMUST00000046611	Cuzd1	16433	NM_008411	NP_032437
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000041567	ENSMUST00000043915	Serpina12	68054	NM_026535	NP_080811
ENSMUSG00000042200	ENSMUST00000035854	Cdrt4	66338	NM_025496	NP_079772
ENSMUSG00000042380	ENSMUST00000142029	Smim12	80284	NM_030252	NP_084528
ENSMUSG00000042595	ENSMUST00000047852	Fam199x	245622	NM_146261	NP_666373
ENSMUSG00000042821	ENSMUST00000052631	Snai1	20613	NM_011427	NP_035557
ENSMUSG00000043429	ENSMUST00000060041	Ccdc185	433386	NM_001033547	NP_001028719
ENSMUSG00000043458	ENSMUST00000055495	Pcdhb12	93883	NM_053137	NP_444367
ENSMUSG00000043501	ENSMUST00000044584	Lgals2	107753	NM_025622	NP_079898
ENSMUSG00000043811	ENSMUST00000059589	Rtn4r	65079	NM_022982	NP_075358
ENSMUSG00000044220	ENSMUST00000057178	Nkx2-3	18089	NM_008699	NP_032725
ENSMUSG00000044444	ENSMUST00000054146	Pfn3	75477	NM_029303	NP_083579
ENSMUSG00000044485	ENSMUST00000007156	Klk1b11	16613	NM_010640	NP_034770
ENSMUSG00000044641	ENSMUST00000052125	Pard6b	58220	NM_021409	NP_067384
ENSMUSG00000044863	ENSMUST00000058086	Defb36	266620	NM_001037247	NP_001032324
ENSMUSG00000044988	ENSMUST00000058610	Ucn3	83428	NM_031250	NP_112540
ENSMUSG00000045210	ENSMUST00000057438	Vcpip1	70675	NM_173443	NP_775619
ENSMUSG00000045414	ENSMUST00000113028	Dipk2a	68861	NM_001033145	NP_001028317
ENSMUSG00000045954	ENSMUST00000051572	Cavin2	20324	NM_138741	NP_620080
ENSMUSG00000046082	ENSMUST00000050389	Tmem174	68344	NM_026685	NP_080961
ENSMUSG00000046615	ENSMUST00000059466	Actrt1	73360	NM_028514	NP_082790
ENSMUSG00000047654	ENSMUST00000050373	Tssk6	83984	NM_032004	NP_114393
ENSMUSG00000047822	ENSMUST00000058777	Angptl8	624219	NM_001080940	NP_001074409
ENSMUSG00000048087	ENSMUST00000059524	Ahcyl	11615	NM_001304528	NP_001291457
ENSMUSG00000048355	ENSMUST00000057625	Arxes1	76219	NM_029541	NP_083817
ENSMUSG00000048429	ENSMUST00000062125	Timm29	69773	NM_178619	NP_848734
ENSMUSG00000049037	ENSMUST00000060484	Clec4a1	269799	NM_199311	NP_955015
ENSMUSG00000049232	ENSMUST00000062626	Tigd2	68140	NM_001081145	NP_001074614
ENSMUSG00000049285	ENSMUST00000057773	Mblac1	330216	NM_177878	NP_808546
ENSMUSG00000049892	ENSMUST00000062405	Rasd1	19416	NM_009026	NP_033052
ENSMUSG00000050621	ENSMUST00000053150	Rps27rt	100043813	NM_001190258	NP_001177187
ENSMUSG00000050645	ENSMUST00000053180	Defb19	246700	NM_145157	NP_660139
ENSMUSG00000051316	ENSMUST00000066272	Taf7	24074	NM_175770	NP_786964
ENSMUSG00000051495	ENSMUST00000054960	Irf2bp2	270110	NM_001164598	NP_001158070
ENSMUSG00000051652	ENSMUST00000057608	Lrrc3	237387	NM_145152	NP_660134
ENSMUSG00000052271	ENSMUST00000060747	Bhlha15	17341	NM_010800	NP_034930
ENSMUSG00000054117	ENSMUST00000066949	Zdhhc25	70073	NM_027306	NP_081582
ENSMUSG00000054136	ENSMUST00000066991	Adm2	223780	NM_182928	NP_891558
ENSMUSG00000054408	ENSMUST00000067476	Spcs3	76687	NM_029701	NP_083977
ENSMUSG00000055069	ENSMUST00000068449	Rab39	270160	NM_175562	NP_780771
ENSMUSG00000055547	ENSMUST00000068875	Apobec4	71281	NM_001081197	NP_001074666
ENSMUSG00000055882	ENSMUST00000069649	Abhd16b	241850	NM_183181	NP_899004
ENSMUSG00000056529	ENSMUST00000070690	Ptafr	19204	NM_001081211	NP_001074680
ENSMUSG00000057805	ENSMUST00000078832	1700084M14Rik			
ENSMUSG00000059042	ENSMUST00000081399	Klk1b9	13648	NM_010116	NP_034246
ENSMUSG00000060188	ENSMUST00000200880	Cxcl17	232983	NM_153576	NP_705804
ENSMUSG00000060499	ENSMUST00000081908	Rpl10l	238217	NM_001162933	NP_001156405
ENSMUSG00000060967	ENSMUST00000074232	Etd	69501	NM_175147	NP_780356
ENSMUSG00000061633	ENSMUST00000074608	Ndufb11b	66346	NM_025503	NP_079779
ENSMUSG00000064213	ENSMUST00000080533	Defa24	503491	NM_001024225	NP_001019396
ENSMUSG00000064356	ENSMUST00000082407	mt-Atp8	17706		NP_904332
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3	17718		NP_904335
ENSMUSG00000066071	ENSMUST00000084343	Cyp4a12a	277753	NM_177406	NP_803125
ENSMUSG00000066720	ENSMUST00000085989	Cldn9	56863	NM_020293	NP_064689
ENSMUSG00000068522	ENSMUST00000090025	Aard	239435	NM_175503	NP_780712
ENSMUSG00000068888	ENSMUST00000090866	Lce1i	76585	NM_029667	NP_083943
ENSMUSG00000070529	ENSMUST00000094344	Wfdc10	629756	NM_001039501	NP_001034590
ENSMUSG00000070583	ENSMUST00000094481	Fv1	14349	NM_010244	NP_034374
ENSMUSG00000071726	ENSMUST00000096371	Gm5941			
ENSMUSG00000072620	ENSMUST00000038038	Slfn2	20556	NM_011408	NP_035538
ENSMUSG00000072722	ENSMUST00000100882	Ccdc121rt2	625464	NM_001177504	NP_001170975
ENSMUSG00000072995	ENSMUST00000101269	Cpxcr1	382239	NM_001033471	NP_001028643
ENSMUSG00000073730	ENSMUST00000073179	Ppp1r14bl	66755	NM_025746	NP_080022
ENSMUSG00000074300	ENSMUST00000098713	Smim31	407795	NM_001352886	NP_001339815
ENSMUSG00000075543	ENSMUST00000100433	Urad	231903	NM_001039678	NP_001034767
ENSMUSG00000075572	ENSMUST00000100491	Defb43	654458	NM_001039121	NP_001034210
ENSMUSG00000076469	ENSMUST00000103270	Trbv13-2			
ENSMUSG00000076470	ENSMUST00000103271	Trbv13-3			
ENSMUSG00000076476	ENSMUST00000103277	Trbv20			
ENSMUSG00000076485	ENSMUST00000192366	Trbj1-3			
ENSMUSG00000076486	ENSMUST00000103287	Trbj1-4			
ENSMUSG00000076487	ENSMUST00000103288	Trbj1-5			
ENSMUSG00000076488	ENSMUST00000103289	Trbj1-6			
ENSMUSG00000076492	ENSMUST00000103293	Trbj2-1			
ENSMUSG00000076497	ENSMUST00000103298	Trbj2-7			
ENSMUSG00000076505	ENSMUST00000103306	Igkv1-131			
ENSMUSG00000076532	ENSMUST00000103333	Igkv4-91			
ENSMUSG00000076562	ENSMUST00000103363	Igkv4-50			
ENSMUSG00000076583	ENSMUST00000103384	Igkv8-24			
