# Tissue: kidney
# Gene Count: 44
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000024245	ENSMUST00000025092	Tmem178	68027	NM_026516	NP_080792
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000029372	ENSMUST00000031319	Ppbp	57349	NM_023785	NP_076274
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000033578	ENSMUST00000037687	Tmem35a	67564	NM_026239	NP_080515
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000037010	ENSMUST00000039026	Apln	30878	NM_013912	NP_038940
ENSMUSG00000038527	ENSMUST00000049124	C1rl	232371	NM_181344	NP_851989
ENSMUSG00000038692	ENSMUST00000049241	Hoxb4	15412	NM_010459	NP_034589
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000042380	ENSMUST00000142029	Smim12	80284	NM_030252	NP_084528
ENSMUSG00000044641	ENSMUST00000052125	Pard6b	58220	NM_021409	NP_067384
ENSMUSG00000045210	ENSMUST00000057438	Vcpip1	70675	NM_173443	NP_775619
ENSMUSG00000045414	ENSMUST00000113028	Dipk2a	68861	NM_001033145	NP_001028317
ENSMUSG00000045954	ENSMUST00000051572	Cavin2	20324	NM_138741	NP_620080
ENSMUSG00000046082	ENSMUST00000050389	Tmem174	68344	NM_026685	NP_080961
ENSMUSG00000048429	ENSMUST00000062125	Timm29	69773	NM_178619	NP_848734
ENSMUSG00000049232	ENSMUST00000062626	Tigd2	68140	NM_001081145	NP_001074614
ENSMUSG00000049892	ENSMUST00000062405	Rasd1	19416	NM_009026	NP_033052
ENSMUSG00000050621	ENSMUST00000053150	Rps27rt	100043813	NM_001190258	NP_001177187
ENSMUSG00000050645	ENSMUST00000053180	Defb19	246700	NM_145157	NP_660139
ENSMUSG00000051495	ENSMUST00000054960	Irf2bp2	270110	NM_001164598	NP_001158070
ENSMUSG00000051652	ENSMUST00000057608	Lrrc3	237387	NM_145152	NP_660134
ENSMUSG00000054408	ENSMUST00000067476	Spcs3	76687	NM_029701	NP_083977
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3	17718		NP_904335
ENSMUSG00000072620	ENSMUST00000038038	Slfn2	20556	NM_011408	NP_035538
ENSMUSG00000078202	ENSMUST00000104999	Nrarp	67122	NM_025980	NP_080256
ENSMUSG00000089768	ENSMUST00000113071	Tmsb15b1	666244	NM_001081983	NP_001075452
ENSMUSG00000091264	ENSMUST00000165561	Smim13	108934	NM_001135577	NP_001129049
ENSMUSG00000092118	ENSMUST00000169357	Fancf	100040608	NM_001115087	NP_001108559
ENSMUSG00000096188	ENSMUST00000179802	Cmtm4	97487	NM_153582	NP_705810
ENSMUSG00000096255	ENSMUST00000179569	Dynlt1b	21648	NM_009342	NP_033368
ENSMUSG00000117924	ENSMUST00000010248	Tmem223	66836	NM_025791	NP_080067
