# Tissue: small intestine
# Gene Count: 56
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018822	ENSMUST00000018966	Sfrp5	54612	NM_018780	NP_061250
ENSMUSG00000018930	ENSMUST00000019074	Ccl4	20303	NM_013652	NP_038680
ENSMUSG00000020081	ENSMUST00000020278	Tacr2	21337	NM_009314	NP_033340
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022650	ENSMUST00000023328	Retnlb	57263	NM_023881	NP_076370
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000024366	ENSMUST00000025224	Gfra3	14587	NM_010280	NP_034410
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027581	ENSMUST00000103045	Stmn3	20262	NM_009133	NP_033159
ENSMUSG00000028635	ENSMUST00000030384	Edn2	13615	NM_007902	NP_031928
ENSMUSG00000029378	ENSMUST00000031325	Areg	11839	NM_009704	NP_033834
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000039084	ENSMUST00000040418	Chad	12643	NM_007689	NP_031715
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000042041	ENSMUST00000048482	2010003K11Rik	69861	NM_027237	NP_081513
ENSMUSG00000042380	ENSMUST00000142029	Smim12	80284	NM_030252	NP_084528
ENSMUSG00000042821	ENSMUST00000052631	Snai1	20613	NM_011427	NP_035557
ENSMUSG00000044220	ENSMUST00000057178	Nkx2-3	18089	NM_008699	NP_032725
ENSMUSG00000044641	ENSMUST00000052125	Pard6b	58220	NM_021409	NP_067384
ENSMUSG00000045019	ENSMUST00000056113	Acer1	171168	NM_175731	NP_783858
ENSMUSG00000045954	ENSMUST00000051572	Cavin2	20324	NM_138741	NP_620080
ENSMUSG00000047822	ENSMUST00000058777	Angptl8	624219	NM_001080940	NP_001074409
ENSMUSG00000048429	ENSMUST00000062125	Timm29	69773	NM_178619	NP_848734
ENSMUSG00000049232	ENSMUST00000062626	Tigd2	68140	NM_001081145	NP_001074614
ENSMUSG00000049285	ENSMUST00000057773	Mblac1	330216	NM_177878	NP_808546
ENSMUSG00000049892	ENSMUST00000062405	Rasd1	19416	NM_009026	NP_033052
ENSMUSG00000050164	ENSMUST00000166855	Mchr1	207911	NM_145132	NP_660114
ENSMUSG00000051495	ENSMUST00000054960	Irf2bp2	270110	NM_001164598	NP_001158070
ENSMUSG00000052271	ENSMUST00000060747	Bhlha15	17341	NM_010800	NP_034930
ENSMUSG00000054408	ENSMUST00000067476	Spcs3	76687	NM_029701	NP_083977
ENSMUSG00000056529	ENSMUST00000070690	Ptafr	19204	NM_001081211	NP_001074680
ENSMUSG00000073043	ENSMUST00000101351	Atoh1	11921	NM_007500	NP_031526
ENSMUSG00000074300	ENSMUST00000098713	Smim31	407795	NM_001352886	NP_001339815
ENSMUSG00000076535	ENSMUST00000103336	Igkv1-88			
ENSMUSG00000076575	ENSMUST00000197429	Igkv7-33			
ENSMUSG00000076583	ENSMUST00000103384	Igkv8-24			
ENSMUSG00000076633	ENSMUST00000195468	Ighv5-2			
ENSMUSG00000076665	ENSMUST00000103474	Ighv7-1			
ENSMUSG00000078202	ENSMUST00000104999	Nrarp	67122	NM_025980	NP_080256
ENSMUSG00000091264	ENSMUST00000165561	Smim13	108934	NM_001135577	NP_001129049
ENSMUSG00000092118	ENSMUST00000169357	Fancf	100040608	NM_001115087	NP_001108559
ENSMUSG00000094797	ENSMUST00000103393	Igkv6-15			
ENSMUSG00000096188	ENSMUST00000179802	Cmtm4	97487	NM_153582	NP_705810
ENSMUSG00000114755	ENSMUST00000058004	Galr3	14429	NM_015738	NP_056553
ENSMUSG00000117924	ENSMUST00000010248	Tmem223	66836	NM_025791	NP_080067
