# Tissue: colon
# Gene Count: 106
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000001823	ENSMUST00000001878	Hoxd12	15432	NM_008274	NP_032300
ENSMUSG00000003070	ENSMUST00000003154	Efna2	13637	NM_007909	NP_031935
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018822	ENSMUST00000018966	Sfrp5	54612	NM_018780	NP_061250
ENSMUSG00000020081	ENSMUST00000020278	Tacr2	21337	NM_009314	NP_033340
ENSMUSG00000020331	ENSMUST00000099513	Hcn2	15166	NM_008226	NP_032252
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022055	ENSMUST00000022639	Nefl	18039	NM_010910	NP_035040
ENSMUSG00000022650	ENSMUST00000023328	Retnlb	57263	NM_023881	NP_076370
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023057	ENSMUST00000023820	Fabp2	14079	NM_007980	NP_032006
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000024245	ENSMUST00000025092	Tmem178	68027	NM_026516	NP_080792
ENSMUSG00000024366	ENSMUST00000025224	Gfra3	14587	NM_010280	NP_034410
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027581	ENSMUST00000103045	Stmn3	20262	NM_009133	NP_033159
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000028635	ENSMUST00000030384	Edn2	13615	NM_007902	NP_031928
ENSMUSG00000029378	ENSMUST00000031325	Areg	11839	NM_009704	NP_033834
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000032719	ENSMUST00000040695	Sbspon	226866	NM_001033288	NP_001028460
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000038527	ENSMUST00000049124	C1rl	232371	NM_181344	NP_851989
ENSMUSG00000038692	ENSMUST00000049241	Hoxb4	15412	NM_010459	NP_034589
ENSMUSG00000039084	ENSMUST00000040418	Chad	12643	NM_007689	NP_031715
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
