# Tissue: cerebellar hemisphere
# Gene Count: 113
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000008438	ENST00000008938	PGLYRP1	8993	NM_005091	NP_005082
ENSG00000086506	ENST00000199708	HBQ1	3049	NM_005331	NP_005322
ENSG00000101405	ENST00000217386	OXT	5020	NM_000915	NP_000906
ENSG00000101438	ENST00000217420	SLC32A1	140679	NM_080552	NP_542119
ENSG00000103241	ENST00000262426	FOXF1	2294	NM_001451	NP_001442
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000112378	ENST00000421351	PERP	64065	NM_022121	NP_071404
ENSG00000112599	ENST00000230361	GUCA1B	2979	NM_002098	NP_002089
ENSG00000113212	ENST00000231137	PCDHB7	56129	NM_018940	NP_061763
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000120057	ENST00000266066	SFRP5	6425	NM_003015	NP_003006
ENSG00000120324	ENST00000239446	PCDHB10	56126	NM_018930	NP_061753
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000121053	ENST00000225371	EPX	8288	NM_000502	NP_000493
ENSG00000124216	ENST00000244050	SNAI1	6615	NM_005985	NP_005976
ENSG00000127366	ENST00000247883	TAS2R5	54429	NM_018980	NP_061853
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000137273	ENST00000645481	FOXF2	2295	NM_001452	NP_001443
ENSG00000139352	ENST00000266744	ASCL1	429	NM_004316	NP_004307
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000155961	ENST00000369454	RAB39B	116442	NM_171998	NP_741995
ENSG00000158246	ENST00000289166	TENT5B	115572	NM_052943	NP_443175
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000163083	ENST00000295228	INHBB	3625	NM_002193	NP_002184
ENSG00000163794	ENST00000296099	UCN	7349	NM_003353	NP_003344
ENSG00000163888	ENST00000296238	CAMK2N2	94032	NM_033259	NP_150284
ENSG00000164438	ENST00000296921	TLX3	30012	NM_021025	NP_066305
ENSG00000164600	ENST00000297142	NEUROD6	63974	NM_022728	NP_073565
ENSG00000164736	ENST00000297316	SOX17	64321	NM_022454	NP_071899
ENSG00000164778	ENST00000297375	EN2	2020	NM_001427	NP_001418
ENSG00000164825	ENST00000297439	DEFB1	1672	NM_005218	NP_005209
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170396	ENST00000302277	ZNF804A	91752	NM_194250	NP_919226
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000170684	ENST00000303809	ZNF296	162979	NM_145288	NP_660331
ENSG00000170775	ENST00000303921	GPR37	2861	NM_005302	NP_005293
ENSG00000171056	ENST00000304501	SOX7	83595	NM_031439	NP_113627
ENSG00000171357	ENST00000371980	LURAP1	541468	NM_001013615	NP_001013633
ENSG00000171786	ENST00000302101	NHLH1	4807	NM_005598	NP_005589
ENSG00000173013	ENST00000310085	CFAP184	257236	NM_153376	NP_699207
ENSG00000173110	ENST00000309758	HSPA6	3310	NM_002155	NP_002146
ENSG00000173302	ENST00000309926	GPR148	344561	NM_207364	NP_997247
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000174721	ENST00000311575	FGFBP3	143282	NM_152429	NP_689642
ENSG00000174804	ENST00000531380	FZD4	8322	NM_012193	NP_036325
ENSG00000175311	ENST00000311620	ANKS4B	257629	NM_145865	NP_665872
ENSG00000175315	ENST00000312134	CST6	1474	NM_001323	NP_001314
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176076	ENST00000372101	KCNE5	23630	NM_012282	NP_036414
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000176422	ENST00000338146	SPRYD4	283377	NM_207344	NP_997227
ENSG00000178531	ENST00000318978	CTXN1	404217	NM_206833	NP_996664
ENSG00000179071	ENST00000316398	CCDC89	220388	NM_152723	NP_689936
ENSG00000179331	ENST00000320578	RAB39A	54734	NM_017516	NP_059986
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000181778	ENST00000377311	TMEM252	169693	NM_153237	NP_694969
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000182636	ENST00000649030	NDN	4692	NM_002487	NP_002478
ENSG00000182700	ENST00000333305	IGIP	492311	NM_001007189	NP_001007190
ENSG00000182810	ENST00000332395	DDX28	55794	NM_018380	NP_060850
ENSG00000183114	ENST00000332947	FAM43B	163933	NM_207334	NP_997217
ENSG00000183134	ENST00000332539	PTGDR2	11251	NM_004778	NP_004769
ENSG00000183598	ENST00000331491	H3C13	653604	NM_001123375	NP_001116847
ENSG00000183779	ENST00000331569	ZNF703	80139	NM_025069	NP_079345
ENSG00000183888	ENST00000329454	SRARP	149563	NM_178840	NP_849162
ENSG00000184350	ENST00000389832	MRGPRE	116534	NM_001039165	NP_001034254
ENSG00000185085	ENST00000330574	INTS5	80789	NM_030628	NP_085131
ENSG00000185245	ENST00000329125	GP1BA	2811	NM_000173	NP_000164
ENSG00000185290	ENST00000329309	NUPR2	389493	NM_001145712	NP_001139184
ENSG00000185294	ENST00000329196	SPPL2C	162540	NM_175882	NP_787078
ENSG00000185818	ENST00000423729	NAT8L	339983	NM_178557	NP_848652
ENSG00000186222	ENST00000320776	BLOC1S4	55330	NM_018366	NP_060836
ENSG00000186603	ENST00000334815	HPDL	84842	NM_032756	NP_116145
ENSG00000187566	ENST00000340650	NHLRC1	378884	NM_198586	NP_940988
ENSG00000188636	ENST00000341255	RTL6	84247	NM_032287	NP_115663
ENSG00000188763	ENST00000344575	FZD9	8326	NM_003508	NP_003499
ENSG00000196368	ENST00000375992	NUDT11	55190	NM_018159	NP_060629
ENSG00000197191	ENST00000650725	CYSRT1	375791	NM_199001	NP_945352
ENSG00000197296	ENST00000396825	FITM2	128486	NM_001080472	NP_001073941
ENSG00000203883	ENST00000340356	SOX18	54345	NM_018419	NP_060889
ENSG00000203908	ENST00000370367	KHDC3L	154288	NM_001017361	NP_001017361
ENSG00000204366	ENST00000375527	ZBTB12	221527	NM_181842	NP_862825
ENSG00000204439	ENST00000375911	C6orf47	57827	NM_021184	NP_067007
ENSG00000205138	ENST00000378887	SDHAF1	644096	NM_001042631	NP_001036096
ENSG00000205869	ENST00000382171	KRTAP5-1	387264	NM_001005922	NP_001005922
ENSG00000213171	ENST00000368820	LINGO4	339398	NM_001004432	NP_001004432
ENSG00000215397	ENST00000246104	SCRT2	85508	NM_033129	NP_149120
ENSG00000221821	ENST00000408925	C6orf226	441150	NM_001008739	NP_001008739
ENSG00000223496	ENST00000435634	EXOSC6	118460	NM_058219	NP_478126
ENSG00000230707	ENST00000453380	HAPSTR2	389895	NM_001271560	NP_001258489
ENSG00000243284	ENST00000368100	VSIG8	391123	NM_001013661	NP_001013683
ENSG00000247626	ENST00000282276	MARS2	92935	NM_138395	NP_612404
ENSG00000250254	ENST00000504686	PTTG2	10744	NM_006607	NP_006598
ENSG00000254997	ENST00000528743	KRTAP5-9	3846	NM_005553	NP_005544
ENSG00000263874	ENST00000583195	LASP1NB	100505576	NM_001414697	NP_001401626
ENSG00000267909	ENST00000599174	CCDC177	56936	NM_001271507	NP_001258436
ENSG00000269526	ENST00000602168	ERVV-1	147664	NM_152473	NP_689686
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NM_001355243	NP_001342172
