# Tissue: pituitary gland
# Gene Count: 113
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000008438	ENST00000008938	PGLYRP1	8993	NM_005091	NP_005082
ENSG00000101405	ENST00000217386	OXT	5020	NM_000915	NP_000906
ENSG00000101438	ENST00000217420	SLC32A1	140679	NM_080552	NP_542119
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000112378	ENST00000421351	PERP	64065	NM_022121	NP_071404
ENSG00000112599	ENST00000230361	GUCA1B	2979	NM_002098	NP_002089
ENSG00000113212	ENST00000231137	PCDHB7	56129	NM_018940	NP_061763
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000120057	ENST00000266066	SFRP5	6425	NM_003015	NP_003006
ENSG00000120324	ENST00000239446	PCDHB10	56126	NM_018930	NP_061753
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000124216	ENST00000244050	SNAI1	6615	NM_005985	NP_005976
ENSG00000124935	ENST00000244926	SCGB1D2	10647	NM_006551	NP_006542
ENSG00000124939	ENST00000244930	SCGB2A1	4246	NM_002407	NP_002398
ENSG00000125878	ENST00000246080	TCF15	6939	NM_004609	NP_004600
ENSG00000127366	ENST00000247883	TAS2R5	54429	NM_018980	NP_061853
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136327	ENST00000258829	NKX2-8	26257	NM_014360	NP_055175
ENSG00000136514	ENST00000259030	RTP4	64108	NM_022147	NP_071430
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000137273	ENST00000645481	FOXF2	2295	NM_001452	NP_001443
ENSG00000139352	ENST00000266744	ASCL1	429	NM_004316	NP_004307
ENSG00000143125	ENST00000271331	PROK1	84432	NM_032414	NP_115790
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000155961	ENST00000369454	RAB39B	116442	NM_171998	NP_741995
ENSG00000158246	ENST00000289166	TENT5B	115572	NM_052943	NP_443175
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000163083	ENST00000295228	INHBB	3625	NM_002193	NP_002184
ENSG00000163221	ENST00000368737	S100A12	6283	NM_005621	NP_005612
ENSG00000163794	ENST00000296099	UCN	7349	NM_003353	NP_003344
ENSG00000163888	ENST00000296238	CAMK2N2	94032	NM_033259	NP_150284
ENSG00000164736	ENST00000297316	SOX17	64321	NM_022454	NP_071899
ENSG00000164825	ENST00000297439	DEFB1	1672	NM_005218	NP_005209
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000168792	ENST00000307201	ABHD15	116236	NM_198147	NP_937790
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170439	ENST00000394252	TMT1B	196410	NM_152637	NP_689850
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000170684	ENST00000303809	ZNF296	162979	NM_145288	NP_660331
