# Tissue: Ammon's horn
# Gene Count: 95
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000086506	ENST00000199708	HBQ1	3049	NM_005331	NP_005322
ENSG00000101438	ENST00000217420	SLC32A1	140679	NM_080552	NP_542119
ENSG00000103241	ENST00000262426	FOXF1	2294	NM_001451	NP_001442
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000112378	ENST00000421351	PERP	64065	NM_022121	NP_071404
ENSG00000112599	ENST00000230361	GUCA1B	2979	NM_002098	NP_002089
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000120324	ENST00000239446	PCDHB10	56126	NM_018930	NP_061753
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000124216	ENST00000244050	SNAI1	6615	NM_005985	NP_005976
ENSG00000125878	ENST00000246080	TCF15	6939	NM_004609	NP_004600
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136514	ENST00000259030	RTP4	64108	NM_022147	NP_071430
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000137273	ENST00000645481	FOXF2	2295	NM_001452	NP_001443
ENSG00000139352	ENST00000266744	ASCL1	429	NM_004316	NP_004307
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000155961	ENST00000369454	RAB39B	116442	NM_171998	NP_741995
ENSG00000157005	ENST00000287641	SST	6750	NM_001048	NP_001039
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000163083	ENST00000295228	INHBB	3625	NM_002193	NP_002184
ENSG00000163794	ENST00000296099	UCN	7349	NM_003353	NP_003344
ENSG00000163888	ENST00000296238	CAMK2N2	94032	NM_033259	NP_150284
ENSG00000164600	ENST00000297142	NEUROD6	63974	NM_022728	NP_073565
ENSG00000164736	ENST00000297316	SOX17	64321	NM_022454	NP_071899
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000168792	ENST00000307201	ABHD15	116236	NM_198147	NP_937790
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170396	ENST00000302277	ZNF804A	91752	NM_194250	NP_919226
ENSG00000170439	ENST00000394252	TMT1B	196410	NM_152637	NP_689850
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000170684	ENST00000303809	ZNF296	162979	NM_145288	NP_660331
ENSG00000170775	ENST00000303921	GPR37	2861	NM_005302	NP_005293
ENSG00000171056	ENST00000304501	SOX7	83595	NM_031439	NP_113627
ENSG00000171357	ENST00000371980	LURAP1	541468	NM_001013615	NP_001013633
ENSG00000173013	ENST00000310085	CFAP184	257236	NM_153376	NP_699207
ENSG00000173110	ENST00000309758	HSPA6	3310	NM_002155	NP_002146
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000174721	ENST00000311575	FGFBP3	143282	NM_152429	NP_689642
ENSG00000174804	ENST00000531380	FZD4	8322	NM_012193	NP_036325
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176076	ENST00000372101	KCNE5	23630	NM_012282	NP_036414
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000176422	ENST00000338146	SPRYD4	283377	NM_207344	NP_997227
ENSG00000178531	ENST00000318978	CTXN1	404217	NM_206833	NP_996664
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000180730	ENST00000319420	SHISA2	387914	NM_001007538	NP_001007539
ENSG00000181418	ENST00000421952	DDN	23109	NM_015086	NP_055901
ENSG00000181656	ENST00000315033	GPR88	54112	NM_022049	NP_071332
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000182636	ENST00000649030	NDN	4692	NM_002487	NP_002478
ENSG00000182700	ENST00000333305	IGIP	492311	NM_001007189	NP_001007190
ENSG00000182810	ENST00000332395	DDX28	55794	NM_018380	NP_060850
