# Tissue: adult mammalian kidney
# Gene Count: 171
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000007682	ENSMUST00000082432	Dio2	13371	NM_010050	NP_034180
ENSMUSG00000007877	ENSMUST00000008021	Tcap	21393	NM_011540	NP_035670
ENSMUSG00000009185	ENSMUST00000009329	Ccl8	20307	NM_021443	NP_067418
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018822	ENSMUST00000018966	Sfrp5	54612	NM_018780	NP_061250
ENSMUSG00000020062	ENSMUST00000020255	Slc5a8	216225	NM_145423	NP_663398
ENSMUSG00000020469	ENSMUST00000102921	Myl7	17898	NM_022879	NP_075017
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023057	ENSMUST00000023820	Fabp2	14079	NM_007980	NP_032006
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000024245	ENSMUST00000025092	Tmem178	68027	NM_026516	NP_080792
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000026394	ENSMUST00000027643	Atp6v1g3	338375	NM_177397	NP_796371
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000029372	ENSMUST00000031319	Ppbp	57349	NM_023785	NP_076274
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000029882	ENSMUST00000031931	Prss3b	67373	NM_023333	NP_075822
ENSMUSG00000031518	ENSMUST00000033917	Spata4	69281	NM_133711	NP_598472
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
