# Gene IDs passing expressed in testis (UBERON:0000473) filter
# Total: 74
ENSMUSG00000095573	ENSMUST00000168551	H2al2b	100042840	NM_001113395	NP_001106866
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000050435	ENSMUST00000059509	Ube2dnl1	237009	NM_001276396	NP_001263325
ENSMUSG00000047079	ENSMUST00000062695	Ube2dnl2	75097	NM_001081661	NP_001075130
ENSMUSG00000067441	ENSMUST00000122446	H2ab1	100039319	NM_001102665	NP_001096135
ENSMUSG00000045210	ENSMUST00000057438	Vcpip1	70675	NM_173443	NP_775619
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000046615	ENSMUST00000059466	Actrt1	73360	NM_028514	NP_082790
ENSMUSG00000060499	ENSMUST00000081908	Rpl10l	238217	NM_001162933	NP_001156405
ENSMUSG00000055547	ENSMUST00000068875	Apobec4	71281	NM_001081197	NP_001074666
ENSMUSG00000054117	ENSMUST00000066949	Zdhhc25	70073	NM_027306	NP_081582
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000047565	ENSMUST00000052910	Acot10	64833	NM_022816	NP_073727
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000054408	ENSMUST00000067476	Spcs3	76687	NM_029701	NP_083977
ENSMUSG00000078157	ENSMUST00000104962	Fem1al	216622	NM_176829	NP_789799
ENSMUSG00000109941	ENSMUST00000210390	Exosc6	72544	NM_028274	NP_082550
ENSMUSG00000049892	ENSMUST00000062405	Rasd1	19416	NM_009026	NP_033052
ENSMUSG00000079579	ENSMUST00000114682	Gm6760	627470	NM_001177377	NP_001170848
ENSMUSG00000025288	ENSMUST00000026325	4933436I01Rik	66780	NM_025763	NP_080039
ENSMUSG00000025431	ENSMUST00000026498	Crisp1	11571	NM_009638	NP_033768
ENSMUSG00000057805	ENSMUST00000078832	1700084M14Rik			
ENSMUSG00000045414	ENSMUST00000113028	Dipk2a	68861	NM_001033145	NP_001028317
ENSMUSG00000068522	ENSMUST00000090025	Aard	239435	NM_175503	NP_780712
ENSMUSG00000047654	ENSMUST00000050373	Tssk6	83984	NM_032004	NP_114393
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000100626	ENSMUST00000188439	H2al1a	100042922	NM_001111037	NP_001104507
ENSMUSG00000095445	ENSMUST00000164729	H2al1i	100042946	NM_001242954	NP_001229883
ENSMUSG00000073730	ENSMUST00000073179	Ppp1r14bl	66755	NM_025746	NP_080022
ENSMUSG00000068149	ENSMUST00000089246	Tex13c3	278255	NM_207524	NP_997407
ENSMUSG00000082226	ENSMUST00000117865	Gm715	279618	NM_001271548	NP_001258477
ENSMUSG00000072722	ENSMUST00000100882	Ccdc121rt2	625464	NM_001177504	NP_001170975
ENSMUSG00000061633	ENSMUST00000074608	Ndufb11b	66346	NM_025503	NP_079779
ENSMUSG00000089768	ENSMUST00000113071	Tmsb15b1	666244	NM_001081983	NP_001075452
ENSMUSG00000049232	ENSMUST00000062626	Tigd2	68140	NM_001081145	NP_001074614
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000051495	ENSMUST00000054960	Irf2bp2	270110	NM_001164598	NP_001158070
ENSMUSG00000091264	ENSMUST00000165561	Smim13	108934	NM_001135577	NP_001129049
ENSMUSG00000042200	ENSMUST00000035854	Cdrt4	66338	NM_025496	NP_079772
ENSMUSG00000091017	ENSMUST00000171798	Garin4	619288	NM_001109759	NP_001103229
ENSMUSG00000071341	ENSMUST00000095759	Egr4	13656	NM_020596	NP_065621
ENSMUSG00000051316	ENSMUST00000066272	Taf7	24074	NM_175770	NP_786964
ENSMUSG00000051257	ENSMUST00000054534	Trap1a	22037	NM_011635	NP_035765
ENSMUSG00000117924	ENSMUST00000010248	Tmem223	66836	NM_025791	NP_080067
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000042380	ENSMUST00000142029	Smim12	80284	NM_030252	NP_084528
ENSMUSG00000044444	ENSMUST00000054146	Pfn3	75477	NM_029303	NP_083579
ENSMUSG00000038044	ENSMUST00000045016	Cct8l1	242891	NM_198621	NP_941023
ENSMUSG00000075510	ENSMUST00000100369	Fam187a	66784	NM_025766	NP_080042
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000070529	ENSMUST00000094344	Wfdc10	629756	NM_001039501	NP_001034590
ENSMUSG00000067704	ENSMUST00000088260	Wfdc13	408190	NM_001012704	NP_001012722
ENSMUSG00000062376	ENSMUST00000074912	Borcs7	66439	NM_025563	NP_079839
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000071726	ENSMUST00000096371	Gm5941			
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000043429	ENSMUST00000060041	Ccdc185	433386	NM_001033547	NP_001028719
ENSMUSG00000020396	ENSMUST00000093369	Nefh	380684	NM_010904	NP_035034
ENSMUSG00000096188	ENSMUST00000179802	Cmtm4	97487	NM_153582	NP_705810
ENSMUSG00000048429	ENSMUST00000062125	Timm29	69773	NM_178619	NP_848734
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000096255	ENSMUST00000179569	Dynlt1b	21648	NM_009342	NP_033368
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000042821	ENSMUST00000052631	Snai1	20613	NM_011427	NP_035557
ENSMUSG00000050645	ENSMUST00000053180	Defb19	246700	NM_145157	NP_660139
ENSMUSG00000037001	ENSMUST00000102703	Zfp39	22698	NM_011758	NP_035888
ENSMUSG00000055882	ENSMUST00000069649	Abhd16b	241850	NM_183181	NP_899004
ENSMUSG00000044641	ENSMUST00000052125	Pard6b	58220	NM_021409	NP_067384
