# Tissue: quadriceps femoris
# Gene Count: 96
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000003070	ENSMUST00000003154	Efna2	13637	NM_007909	NP_031935
ENSMUSG00000007682	ENSMUST00000082432	Dio2	13371	NM_010050	NP_034180
ENSMUSG00000007877	ENSMUST00000008021	Tcap	21393	NM_011540	NP_035670
ENSMUSG00000009185	ENSMUST00000009329	Ccl8	20307	NM_021443	NP_067418
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018822	ENSMUST00000018966	Sfrp5	54612	NM_018780	NP_061250
ENSMUSG00000020331	ENSMUST00000099513	Hcn2	15166	NM_008226	NP_032252
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020830	ENSMUST00000021179	Vmo1	327956	NM_001013607	NP_001013625
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023057	ENSMUST00000023820	Fabp2	14079	NM_007980	NP_032006
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000029372	ENSMUST00000031319	Ppbp	57349	NM_023785	NP_076274
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029882	ENSMUST00000031931	Prss3b	67373	NM_023333	NP_075822
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000034384	ENSMUST00000086795	Barhl2	104382	NM_001005477	NP_001005477
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000035373	ENSMUST00000021011	Ccl7	20306	NM_013654	NP_038682
ENSMUSG00000036144	ENSMUST00000041183	Meox2	17286	NM_008584	NP_032610
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000037001	ENSMUST00000102703	Zfp39	22698	NM_011758	NP_035888
ENSMUSG00000037010	ENSMUST00000039026	Apln	30878	NM_013912	NP_038940
ENSMUSG00000037171	ENSMUST00000049339	Nodal	18119	NM_013611	NP_038639
ENSMUSG00000038527	ENSMUST00000049124	C1rl	232371	NM_181344	NP_851989
ENSMUSG00000039084	ENSMUST00000040418	Chad	12643	NM_007689	NP_031715
ENSMUSG00000039321	ENSMUST00000039044	Uts2r	217369	NM_145440	NP_663415
ENSMUSG00000040205	ENSMUST00000046611	Cuzd1	16433	NM_008411	NP_032437
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000042031	ENSMUST00000046234	Lce3b	66344	NM_025501	NP_079777
ENSMUSG00000042380	ENSMUST00000142029	Smim12	80284	NM_030252	NP_084528
ENSMUSG00000042595	ENSMUST00000047852	Fam199x	245622	NM_146261	NP_666373
ENSMUSG00000042821	ENSMUST00000052631	Snai1	20613	NM_011427	NP_035557
ENSMUSG00000043501	ENSMUST00000044584	Lgals2	107753	NM_025622	NP_079898
ENSMUSG00000043811	ENSMUST00000059589	Rtn4r	65079	NM_022982	NP_075358
ENSMUSG00000045210	ENSMUST00000057438	Vcpip1	70675	NM_173443	NP_775619
ENSMUSG00000045414	ENSMUST00000113028	Dipk2a	68861	NM_001033145	NP_001028317
ENSMUSG00000045954	ENSMUST00000051572	Cavin2	20324	NM_138741	NP_620080
ENSMUSG00000046203	ENSMUST00000189634	Sprr2g	20761		
ENSMUSG00000047819	ENSMUST00000062623	Tigd4	403175	NM_207278	NP_997161
ENSMUSG00000048087	ENSMUST00000059524	Ahcyl	11615	NM_001304528	NP_001291457
ENSMUSG00000048429	ENSMUST00000062125	Timm29	69773	NM_178619	NP_848734
ENSMUSG00000049037	ENSMUST00000060484	Clec4a1	269799	NM_199311	NP_955015
ENSMUSG00000049232	ENSMUST00000062626	Tigd2	68140	NM_001081145	NP_001074614
ENSMUSG00000049285	ENSMUST00000057773	Mblac1	330216	NM_177878	NP_808546
ENSMUSG00000049892	ENSMUST00000062405	Rasd1	19416	NM_009026	NP_033052
ENSMUSG00000050164	ENSMUST00000166855	Mchr1	207911	NM_145132	NP_660114
ENSMUSG00000050621	ENSMUST00000053150	Rps27rt	100043813	NM_001190258	NP_001177187
ENSMUSG00000051316	ENSMUST00000066272	Taf7	24074	NM_175770	NP_786964
ENSMUSG00000051495	ENSMUST00000054960	Irf2bp2	270110	NM_001164598	NP_001158070
ENSMUSG00000054408	ENSMUST00000067476	Spcs3	76687	NM_029701	NP_083977
ENSMUSG00000056529	ENSMUST00000070690	Ptafr	19204	NM_001081211	NP_001074680
ENSMUSG00000059668	ENSMUST00000023797	Krt4	16682	NM_008475	NP_032501
ENSMUSG00000062694	ENSMUST00000075477	Cav3	12391	NM_007617	NP_031643
ENSMUSG00000063529	ENSMUST00000076622	Stmnd1	380842	NM_001005422	NP_001005422
ENSMUSG00000064213	ENSMUST00000080533	Defa24	503491	NM_001024225	NP_001019396
ENSMUSG00000064356	ENSMUST00000082407	mt-Atp8	17706		NP_904332
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3	17718		NP_904335
