# Tissue: ectoplacental cone
# Gene Count: 133
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000003070	ENSMUST00000003154	Efna2	13637	NM_007909	NP_031935
ENSMUSG00000006948	ENSMUST00000007161	Klk4	56640	NM_019928	NP_064312
ENSMUSG00000007682	ENSMUST00000082432	Dio2	13371	NM_010050	NP_034180
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018543	ENSMUST00000107576	Spmap1	72215	NM_028156	NP_082432
ENSMUSG00000018822	ENSMUST00000018966	Sfrp5	54612	NM_018780	NP_061250
ENSMUSG00000018930	ENSMUST00000019074	Ccl4	20303	NM_013652	NP_038680
ENSMUSG00000020062	ENSMUST00000020255	Slc5a8	216225	NM_145423	NP_663398
ENSMUSG00000020331	ENSMUST00000099513	Hcn2	15166	NM_008226	NP_032252
ENSMUSG00000020469	ENSMUST00000102921	Myl7	17898	NM_022879	NP_075017
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000026285	ENSMUST00000027507	Pdcd1	18566	NM_008798	NP_032824
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000027399	ENSMUST00000028882	Il1a	16175	NM_010554	NP_034684
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000028635	ENSMUST00000030384	Edn2	13615	NM_007902	NP_031928
ENSMUSG00000029372	ENSMUST00000031319	Ppbp	57349	NM_023785	NP_076274
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000031160	ENSMUST00000033500	Eras	353283	NM_181548	NP_853526
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000032593	ENSMUST00000085060	Amigo3	320844	NM_177275	NP_796249
ENSMUSG00000032915	ENSMUST00000025004	Adgre4	52614	NM_139138	NP_631877
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000033967	ENSMUST00000045870	Rnf225	381845	NM_029809	NP_084085
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000035373	ENSMUST00000021011	Ccl7	20306	NM_013654	NP_038682
ENSMUSG00000035831	ENSMUST00000038004	Krt25	70810	NM_133730	NP_598491
ENSMUSG00000036362	ENSMUST00000040622	P2ry13	74191	NM_028808	NP_083084
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000036907	ENSMUST00000037286	C1ql2	226359	NM_207233	NP_997116
ENSMUSG00000037001	ENSMUST00000102703	Zfp39	22698	NM_011758	NP_035888
ENSMUSG00000037010	ENSMUST00000039026	Apln	30878	NM_013912	NP_038940
ENSMUSG00000037482	ENSMUST00000040941	Erv3	71995	NM_001166206	NP_001159678
ENSMUSG00000038527	ENSMUST00000049124	C1rl	232371	NM_181344	NP_851989
ENSMUSG00000039084	ENSMUST00000040418	Chad	12643	NM_007689	NP_031715
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000039321	ENSMUST00000039044	Uts2r	217369	NM_145440	NP_663415
ENSMUSG00000039337	ENSMUST00000039146	Tex19.2	70956	NM_027622	NP_081898
ENSMUSG00000040138	ENSMUST00000040134	Ndp	17986	NM_010883	NP_035013
ENSMUSG00000040258	ENSMUST00000095266	Nxph4	104080	NM_183297	NP_899120
ENSMUSG00000040659	ENSMUST00000036854	Efhd2	27984	NM_025994	NP_080270
ENSMUSG00000040770	ENSMUST00000037863	Il25	140806	NM_080729	NP_542767
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000042380	ENSMUST00000142029	Smim12	80284	NM_030252	NP_084528
ENSMUSG00000042525	ENSMUST00000113046	4933428M09Rik	71248	NM_001357856	NP_001344785
ENSMUSG00000042595	ENSMUST00000047852	Fam199x	245622	NM_146261	NP_666373
ENSMUSG00000042816	ENSMUST00000054738	Gpr151	240239	NM_181543	NP_853521
ENSMUSG00000042821	ENSMUST00000052631	Snai1	20613	NM_011427	NP_035557
