# Tissue: telencephalon
# Gene Count: 122
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSMUSG00000001823	ENSMUST00000001878	Hoxd12	15432	NM_008274	NP_032300
ENSMUSG00000002930	ENSMUST00000052827	Ppp1r17	19051	NM_011153	NP_035283
ENSMUSG00000003070	ENSMUST00000003154	Efna2	13637	NM_007909	NP_031935
ENSMUSG00000005892	ENSMUST00000006046	Trh	22044	NM_009426	NP_033452
ENSMUSG00000007682	ENSMUST00000082432	Dio2	13371	NM_010050	NP_034180
ENSMUSG00000007877	ENSMUST00000008021	Tcap	21393	NM_011540	NP_035670
ENSMUSG00000009185	ENSMUST00000009329	Ccl8	20307	NM_021443	NP_067418
ENSMUSG00000013584	ENSMUST00000034723	Aldh1a2	19378	NM_009022	NP_033048
ENSMUSG00000018543	ENSMUST00000107576	Spmap1	72215	NM_028156	NP_082432
ENSMUSG00000018822	ENSMUST00000018966	Sfrp5	54612	NM_018780	NP_061250
ENSMUSG00000018930	ENSMUST00000019074	Ccl4	20303	NM_013652	NP_038680
ENSMUSG00000020052	ENSMUST00000020243	Ascl1	17172	NM_008553	NP_032579
ENSMUSG00000020062	ENSMUST00000020255	Slc5a8	216225	NM_145423	NP_663398
ENSMUSG00000020331	ENSMUST00000099513	Hcn2	15166	NM_008226	NP_032252
ENSMUSG00000020469	ENSMUST00000102921	Myl7	17898	NM_022879	NP_075017
ENSMUSG00000020583	ENSMUST00000020899	Matn3	17182	NM_010770	NP_034900
ENSMUSG00000020671	ENSMUST00000021001	Rab10	19325	NM_016676	NP_057885
ENSMUSG00000020846	ENSMUST00000021207	Rflnb	76566	NM_029658	NP_083934
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000022055	ENSMUST00000022639	Nefl	18039	NM_010910	NP_035040
ENSMUSG00000022650	ENSMUST00000023328	Retnlb	57263	NM_023881	NP_076370
ENSMUSG00000022769	ENSMUST00000023453	Sdf2l1	64136	NM_022324	NP_071719
ENSMUSG00000023057	ENSMUST00000023820	Fabp2	14079	NM_007980	NP_032006
ENSMUSG00000023988	ENSMUST00000024783	Bysl	53414	NM_016859	NP_058555
ENSMUSG00000024245	ENSMUST00000025092	Tmem178	68027	NM_026516	NP_080792
ENSMUSG00000025288	ENSMUST00000026325	4933436I01Rik	66780	NM_025763	NP_080039
ENSMUSG00000025431	ENSMUST00000026498	Crisp1	11571	NM_009638	NP_033768
ENSMUSG00000025433	ENSMUST00000026499	Crisp3	11572	NM_009639	NP_033769
ENSMUSG00000025784	ENSMUST00000026890	Clec3b	21922	NM_011606	NP_035736
ENSMUSG00000026285	ENSMUST00000027507	Pdcd1	18566	NM_008798	NP_032824
ENSMUSG00000026688	ENSMUST00000028005	Mgst3	66447	NM_025569	NP_079845
ENSMUSG00000026735	ENSMUST00000028068	Ptf1a	19213	NM_018809	NP_061279
ENSMUSG00000026919	ENSMUST00000028283	Lcn4	16821	NM_010695	NP_034825
ENSMUSG00000027555	ENSMUST00000029071	Car13	71934	NM_024495	NP_078771
ENSMUSG00000027581	ENSMUST00000103045	Stmn3	20262	NM_009133	NP_033159
ENSMUSG00000027811	ENSMUST00000029388	4930579G24Rik	75939	NM_029482	NP_083758
ENSMUSG00000028963	ENSMUST00000030803	Uts2	24111	NM_011910	NP_036040
ENSMUSG00000029375	ENSMUST00000031322	Cxcl15	20309	NM_011339	NP_035469
ENSMUSG00000029557	ENSMUST00000031536	Mrm2	68017	NM_026510	NP_080786
ENSMUSG00000029819	ENSMUST00000031843	Npy	109648	NM_023456	NP_075945
ENSMUSG00000031491	ENSMUST00000033882	Chrna6	11440	NM_021369	NP_067344
ENSMUSG00000031983	ENSMUST00000034464	2310022B05Rik	69551	NM_175149	NP_780358
ENSMUSG00000032451	ENSMUST00000035026	Trim42	78911	NM_030219	NP_084495
ENSMUSG00000033520	ENSMUST00000038598	Idi2	320581	NM_177197	NP_796171
ENSMUSG00000033578	ENSMUST00000037687	Tmem35a	67564	NM_026239	NP_080515
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000034384	ENSMUST00000086795	Barhl2	104382	NM_001005477	NP_001005477
ENSMUSG00000034936	ENSMUST00000039388	Arl4d	80981	NM_025404	NP_079680
ENSMUSG00000035373	ENSMUST00000021011	Ccl7	20306	NM_013654	NP_038682
ENSMUSG00000036144	ENSMUST00000041183	Meox2	17286	NM_008584	NP_032610
ENSMUSG00000036357	ENSMUST00000057645	Gpr101	245424	NM_001033360	NP_001028532
ENSMUSG00000036362	ENSMUST00000040622	P2ry13	74191	NM_028808	NP_083084
ENSMUSG00000036376	ENSMUST00000041782	Abt1	30946	NM_013924	NP_038952
ENSMUSG00000036907	ENSMUST00000037286	C1ql2	226359	NM_207233	NP_997116
ENSMUSG00000037001	ENSMUST00000102703	Zfp39	22698	NM_011758	NP_035888
ENSMUSG00000037010	ENSMUST00000039026	Apln	30878	NM_013912	NP_038940
ENSMUSG00000037171	ENSMUST00000049339	Nodal	18119	NM_013611	NP_038639
ENSMUSG00000037843	ENSMUST00000109523	Vstm2l	277432	NM_198627	NP_941029
ENSMUSG00000038537	ENSMUST00000038532	Mc3r	17201	NM_008561	NP_032587
ENSMUSG00000038692	ENSMUST00000049241	Hoxb4	15412	NM_010459	NP_034589
ENSMUSG00000039084	ENSMUST00000040418	Chad	12643	NM_007689	NP_031715
ENSMUSG00000039278	ENSMUST00000041096	Pcsk1n	30052	NM_013892	NP_038920
ENSMUSG00000039552	ENSMUST00000169670	Rsph4a	212892	NM_001162957	NP_001156429
