# Tissue: frontal cortex
# Gene Count: 42
Gene_ID	Transcript_ID	Gene_Symbol	EntrezGene_ID	RefSeq_mRNA_ID	RefSeq_Protein_ID
ENSG00000101438	ENST00000217420	SLC32A1	140679	NM_080552	NP_542119
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000139352	ENST00000266744	ASCL1	429	NM_004316	NP_004307
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000155961	ENST00000369454	RAB39B	116442	NM_171998	NP_741995
ENSG00000157005	ENST00000287641	SST	6750	NM_001048	NP_001039
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000164600	ENST00000297142	NEUROD6	63974	NM_022728	NP_073565
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000170396	ENST00000302277	ZNF804A	91752	NM_194250	NP_919226
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000174721	ENST00000311575	FGFBP3	143282	NM_152429	NP_689642
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000178531	ENST00000318978	CTXN1	404217	NM_206833	NP_996664
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000182636	ENST00000649030	NDN	4692	NM_002487	NP_002478
ENSG00000182700	ENST00000333305	IGIP	492311	NM_001007189	NP_001007190
ENSG00000185085	ENST00000330574	INTS5	80789	NM_030628	NP_085131
ENSG00000185818	ENST00000423729	NAT8L	339983	NM_178557	NP_848652
ENSG00000186222	ENST00000320776	BLOC1S4	55330	NM_018366	NP_060836
ENSG00000188636	ENST00000341255	RTL6	84247	NM_032287	NP_115663
ENSG00000196368	ENST00000375992	NUDT11	55190	NM_018159	NP_060629
ENSG00000198142	ENST00000356454	SOWAHC	65124	NM_023016	NP_075392
ENSG00000204366	ENST00000375527	ZBTB12	221527	NM_181842	NP_862825
ENSG00000204439	ENST00000375911	C6orf47	57827	NM_021184	NP_067007
ENSG00000205138	ENST00000378887	SDHAF1	644096	NM_001042631	NP_001036096
ENSG00000223496	ENST00000435634	EXOSC6	118460	NM_058219	NP_478126
ENSG00000263874	ENST00000583195	LASP1NB	100505576	NM_001414697	NP_001401626
ENSG00000267909	ENST00000599174	CCDC177	56936	NM_001271507	NP_001258436
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NM_001355243	NP_001342172
ENSG00000280789	ENST00000320330	PAGR1	79447	NM_024516	NP_078792
